gaze_ts,worldFrame,confidence,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,mapped,number_matches
1703060748799.197,60.0,1.0,308.93512499999997,213.77812500000002,260.768,228.683,True,249.0
1703060748805.626,60.0,1.0,302.24325,218.87775,254.22,233.314,True,249.0
1703060748808.62,60.0,1.0,301.126875,217.62824999999998,253.236,232.093,True,249.0
1703060748814.805,60.0,1.0,303.021375,216.5985,255.079,231.17,True,249.0
1703060748821.176,60.0,1.0,305.616375,224.64075000000003,257.073,238.873,True,249.0
1703060748824.219,60.0,1.0,311.804625,227.43112499999998,262.689,241.645,True,249.0
1703060748830.477,60.0,1.0,313.28175,222.71025,264.312,237.228,True,249.0
1703060748833.813,60.0,1.0,311.97337500000003,219.754125,263.262,234.41,True,249.0
1703060748839.84,60.0,1.0,308.40000000000003,217.35637499999999,260.074,232.047,True,249.0
1703060748846.15,60.0,1.0,300.31462500000004,218.879625,252.399,233.261,True,249.0
1703060748851.373,60.0,1.0,308.57362500000005,212.935125,260.477,227.875,True,249.0
1703060748857.2349,60.0,1.0,303.75037499999996,219.9465,255.58,234.371,True,249.0
1703060748858.846,60.0,1.0,305.4105,212.88075,257.527,227.719,True,249.0
1703060748864.8928,60.0,1.0,303.8325,214.01024999999998,255.985,228.738,True,249.0
1703060748871.1118,60.0,1.0,308.66625,215.56500000000003,260.42,230.362,True,249.0
1703060748874.9058,60.0,1.0,302.858625,209.39212500000002,255.324,224.321,True,249.0
1703060748880.4739,60.0,1.0,299.57775,205.794,252.429,220.776,True,249.0
1703060748883.594,60.0,1.0,303.11775,209.21474999999998,255.578,224.163,True,249.0
1703060748890.991,60.0,1.0,300.028125,205.97175000000001,252.845,220.963,True,249.0
1703060748896.108,60.0,1.0,302.50987499999997,213.57487500000002,254.765,228.281,True,249.0
1703060748899.1838,60.0,1.0,304.28137499999997,211.01174999999998,256.571,225.909,True,249.0
1703060748905.613,60.0,1.0,306.40950000000004,211.90162500000002,258.515,226.825,True,249.0
1703060748908.6128,60.0,1.0,304.8225,213.08212500000002,256.965,227.89,True,249.0
1703060748914.819,60.0,1.0,299.472375,210.209625,252.083,224.976,True,249.0
1703060748921.0928,60.0,1.0,302.328375,217.76399999999998,254.362,232.257,True,249.0
1703060748924.248,60.0,1.0,308.262375,213.664875,260.148,228.554,True,249.0
1703060748930.851,60.0,1.0,304.870875,215.467875,256.879,230.153,True,249.0
1703060748934.1719,60.0,1.0,309.99375000000003,215.8305,261.64,230.653,True,249.0
1703060748939.82,60.0,1.0,309.2115,214.002,261.013,228.903,True,249.0
1703060748946.077,60.0,1.0,301.1977499999999,215.1765,253.439,229.762,True,249.0
1703060748949.203,60.0,1.0,300.02025,216.090375,252.275,230.596,True,249.0
1703060748955.484,60.0,1.0,302.00849999999997,218.24175,254.034,232.702,True,249.0
1703060748958.607,60.0,1.0,303.46012499999995,216.891,255.476,231.461,True,249.0
1703060748964.792,60.0,1.0,307.576875,214.760625,259.449,229.568,True,249.0
1703060748971.098,80.0,1.0,307.015125,213.623625,190.002,260.595,True,176.0
1703060748974.175,80.0,1.0,306.39225,215.81175000000002,189.338,262.518,True,176.0
1703060748980.7349,80.0,1.0,311.171625,210.50737499999997,194.088,257.727,True,176.0
1703060748984.205,80.0,1.0,312.565125,208.00875000000002,195.49,255.521,True,176.0
1703060748989.8188,80.0,1.0,318.379875,216.609,200.787,262.651,True,176.0
1703060748996.124,80.0,1.0,303.232125,215.538,186.277,262.427,True,176.0
1703060748999.299,80.0,1.0,307.16887499999996,208.22775000000001,190.3,255.923,True,176.0
1703060749005.985,80.0,1.0,307.693125,209.530875,190.77,257.028,True,176.0
1703060749008.709,80.0,1.0,305.270625,213.21149999999997,188.324,260.316,True,176.0
1703060749014.8281,80.0,1.0,306.723375,211.12687499999998,189.789,258.448,True,176.0
1703060749021.095,80.0,1.0,309.0075,214.68075,191.895,261.42,True,176.0
1703060749024.2449,80.0,1.0,309.9795,221.286,192.648,267.079,True,176.0
1703060749030.57,80.0,1.0,312.14175000000006,217.051875,194.839,263.321,True,176.0
1703060749033.9531,80.0,1.0,316.015875,216.15937499999998,198.558,262.374,True,176.0
1703060749041.732,80.0,1.0,315.493125,214.95825,198.093,261.367,True,176.0
1703060749046.134,80.0,1.0,308.086875,217.768125,190.922,264.131,True,176.0
1703060749050.3828,80.0,1.0,306.69075,210.441375,189.776,257.856,True,176.0
1703060749055.455,80.0,1.0,311.91900000000004,206.17274999999998,194.922,253.967,True,176.0
1703060749058.6309,80.0,1.0,313.737375,215.49599999999998,196.406,261.908,True,176.0
1703060749064.991,80.0,1.0,311.87175,222.125625,194.442,267.707,True,176.0
1703060749071.124,80.0,1.0,300.03599999999994,216.88725,183.116,263.751,True,176.0
1703060749074.241,80.0,1.0,308.68612500000006,217.56225,191.506,263.924,True,176.0
1703060749083.6082,80.0,1.0,306.46349999999995,217.107375,189.371,263.636,True,176.0
